T3E6D7,ProductW,38.29,59,88,37
M0M2E3,ProductR,85.69,69,74,9
N3P3V4,ProductR,99.78,37,20,60
A2I6M3,ProductW,93.82,4,89,70
Y9O4Z7,PoductV,45.48,15,21,14
N5O4M9,ProductY,94,60,52,36
G0B5X6,ProductX,94.7,85,73,92
W2X0Y3,ProductM,80.44,18,94,12
Q6C1K0,ProductY,57.33,27,40,20
V9X6B8,ProductQ,41.48,24,43,56
D6M3J1,ProductQ,37.19,67,47,95
M5V4X7,ProductY,60.93,31,43,18
C7S1K1,ProductRR,85.34,100,94,87
K4X2C0,PoductV,86.99,75,24,55
Q8J1C5,ProductZ,87.04,44,29,66
P0U4Q1,ProductY,71.04,81,55,52
L8W9L6,ProductYY,62.65,50,53,33
K1E0Z3,ProductY,39.6,12,73,77
C2L4V9,ProductZ,89.31,92,82,3
Y9G1K0,ProductW,47.27,64,38,67
X2A5P9,ProductR,48.26,67,52,2
V4B4J4,PoductV,40.23,20,25,8
N4K1I2,ProductM,91.15,52,63,22
F8N7K6,ProductR,61.15,6,32,43
R4M7L7,ProductW,72.51,95,22,75
C6N6T8,ProductX,33.52,36,94,12
R9Y9A8,ProductY,30.68,21,58,70
Z3C1U4,PoductV,65.87,89,93,12
T4J1K4,PoductV,45.92,76,81,70
J8R0X4,ProductR,84.88,69,51,80
S9H2M7,ProductM,80.44,24,49,47
V1L2W4,ProductW,48.46,38,42,87
N6Y5F1,ProductZ,40.8,7,53,24
N0S1M8,ProductW,90.02,87,78,71
S2Z4Y0,ProductQ,75.79,63,96,35
X9U8R6,ProductW,55.78,51,25,76
U4V1G9,ProductZ,75.14,72,24,31
D0R1N9,ProductY,87.4,64,66,43
V6N0I5,ProductW,75.6,74,47,51
E4C6K6,ProductY,31.1,15,22,14
H0M1R0,ProductW,97.41,91,53,31
Y2I2C1,ProductY,53.18,74,46,98
M6E8H7,ProductZ,69.89,16,97,35
S4U2O4,ProductQ,40.57,17,74,93
M9E1O9,ProductX,69.94,65,82,1
F3F1P1,ProductY,57.87,26,38,1
Y4N7F4,ProductQ,82.33,97,70,100
Q5F8V6,ProductX,63.06,73,92,52
U0Y2K7,ProductR,89.14,26,46,40
Z4X7G6,ProductZ,77.7,22,35,40
L5H7O2,ProductW,85.76,40,68,88
Q3N9Y9,ProductM,64.72,53,39,6
W0M4H8,ProductR,55.41,88,74,52
R8U6V7,ProductM,77.76,45,63,98
D0Y0I0,ProductY,97.93,64,85,20
Z0E5M2,PoductV,35.16,93,91,71
R9I8S0,ProductM,42.12,84,79,18
N8O2Q9,PoductV,91.36,42,60,38
T4A4C8,ProductQ,62.49,24,53,51
O1D9R6,ProductZ,99.41,5,35,85
D2L6C4,ProductM,75.86,75,60,97
W2M2G5,ProductQ,63.59,64,64,61
M9Q5K2,ProductM,93.81,47,79,99
O0R9V6,ProductY,52.16,37,22,46
O6D9I1,ProductQ,68.37,12,44,74
B7U6I5,ProductZ,67.16,20,73,15
M0V8W5,ProductY,59.58,6,93,15
V5T3X3,ProductW,86.19,11,43,97
A0H0P7,ProductW,79.84,53,89,97
H7N5W0,ProductW,74.56,52,35,21
R2I4F7,ProductZ,51.6,66,73,45
G8J0K1,ProductQ,39.44,94,31,14
L2I5U4,PoductV,80.95,20,50,50
K7F8Y9,ProductM,41.08,77,38,13
R5C5W3,ProductR,95.24,47,55,38
L9B8O7,ProductM,91.61,64,62,64
S3N3P1,ProductZ,49.51,40,74,58
I0L3Y8,ProductX,72.39,33,60,28
M1T3S7,ProductM,44.45,20,24,99
N7O7T9,PoductV,41.64,4,56,3
F9C3P4,PoductV,95.37,10,88,48
D6X7N8,ProductR,75.31,93,86,83
H4N5Y1,ProductR,93.11,20,29,7
C1E2G0,ProductZ,83.89,18,89,40
Y6W5C1,ProductM,58.86,75,97,44
S3B1N7,ProductX,35.16,92,50,68
C3T9S7,ProductZ,61.87,22,41,58
S5H4F0,ProductX,77.36,75,68,33
K3L0F6,ProductZ,82.36,98,32,68
O0K7T6,ProductX,48.09,86,97,7
W8Q8Y9,ProductY,85.56,84,45,90
E9Q5N5,ProductX,81.67,38,20,38
B8E7B4,ProductZ,58.29,58,22,27
B9R0L6,ProductR,71.5,76,25,82
I3M3E3,ProductY,82.16,9,59,15
X3A4N9,PoductV,64.16,79,46,42
C6X2K4,ProductQ,82.46,55,93,30
S5C4D0,ProductY,56.41,85,33,48
T2M3A5,ProductY,94.35,21,42,34
O5V9X9,ProductY,56.44,48,56,21
